101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101704	Oddziaˆ Okr©gowy w Zielonej G¢rze                                                                                                           	O/Okr.         	Zielona G¢ra                  	al. Wojska Polskiego 25                 	65-950	Zielona G¢ra                  	154   	65-001	            	22 186 85 02        	22 186 25 00        	22 186 85 17        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	LUBUSKIE              	Zielona G¢ra             	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200003	Departament Rozliczeä                                                                                                                       	C-la           	Warszawa                      	ul. Puˆawska 15                         	02-515	Warszawa                      	      	      	            	22 580 33 92        	                    	                    	                    	1987-11-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200016	Departament Rozliczeä - Centrala                                                                                                            	C-inne         	Warszawa                      	ul. Puˆawska 15                         	02-515	Warszawa                      	      	      	            	22 580 33 92        	                    	                    	                    	1990-03-31	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200029	Centrum Kart Kredytowych i Operacji Kartowych                                                                                               	C-inne         	Warszawa                      	ul. W¢lczyäska 133                      	01-919	Warszawa                      	      	      	            	22 639 60 72        	                    	22 639 60 74        	                    	1998-01-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200032	Departament Produkt¢w Korporacyjnych - Pˆatno˜ci Masowe 1                                                                                   	C-inne         	Warszawa                      	ul. Puˆawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200045	Departament Produkt¢w Korporacyjnych - Pˆatno˜ci Masowe 2                                                                                   	C-inne         	Warszawa                      	ul. Puˆawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200058	Departament Produkt¢w Korporacyjnych - Pˆatno˜ci Masowe 3                                                                                   	C-inne         	Warszawa                      	ul. Puˆawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200061	Departament Produkt¢w Korporacyjnych - Pˆatno˜ci Masowe 4                                                                                   	C-inne         	Warszawa                      	ul. Puˆawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200074	Departament Produkt¢w Zarz¥dzania —rodkami Finansowymi - Pˆatno˜ci Masowe 5                                                                 	C-inne         	Warszawa                      	ul. Puˆawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2010-03-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200117	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Bydgoszczy                                                                                         	C.Oper         	Bydgoszcz                     	ul. Jagielloäska 21                     	85-097	Bydgoszcz                     	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	KUJAWSKO-POMORSKIE    	Bydgoszcz                	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200120	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Gdaäsku                                                                                            	C.Oper         	Gdaäsk                        	ul. Marynarki Polskiej 59               	80-557	Gdaäsk                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	POMORSKIE             	Gdaäsk                   	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200133	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Krzeszowicach                                                                                      	C.Oper         	Krzeszowice                   	ul. T. Ko˜ciuszki 44                    	30-065	Krzeszowice                   	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAOPOLSKIE           	krakowski                	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200146	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w omiankach                                                                                         	C.Oper         	omianki                      	ul. Warszawska 148                      	05-092	omianki                      	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	warszawski zachodni      	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200159	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Cz©stochowie                                                                                       	C.Oper         	Cz©stochowa                   	Aleja Naj˜wi©tszej Maryi Panny 19       	42-200	Cz©stochowa                   	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	—L¤SKIE               	Cz©stochowa              	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200162	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Sosnowcu                                                                                           	C.Oper         	Sosnowiec                     	ul. Jana Kiliäskiego 20                 	41-200	Sosnowiec                     	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	—L¤SKIE               	Sosnowiec                	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200175	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Lublinie                                                                                           	C.Oper         	Lublin                        	ul. Watykaäska 7                        	20-538	Lublin                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	LUBELSKIE             	Lublin                   	                              	                                        	      	                              	      	      	     	        
